"ubigeo","departamento","provincia","distrito","n_empresas","anio","n_denuncias","n_llamadas","n_camaras"
"070102","CALLAO","CALLAO","BELLAVISTA",3412,2018,0,0,0
"070102","PROV. CONST. DEL CALLAO","CALLAO","BELLAVISTA",0,2018,74,0,0
"070102","CALLAO","CALLAO","BELLAVISTA",3412,2019,0,0,0
"070102","PROV. CONST. DEL CALLAO","CALLAO","BELLAVISTA",0,2019,79,0,0
"070102","CALLAO","CALLAO","BELLAVISTA",3412,2020,0,0,0
"070102","PROV. CONST. DEL CALLAO","CALLAO","BELLAVISTA",0,2020,72,0,0
"070102","CALLAO","CALLAO","BELLAVISTA",3412,2021,0,0,0
"070102","PROV. CONST. DEL CALLAO","CALLAO","BELLAVISTA",0,2021,75,0,0
"070102","CALLAO","CALLAO","BELLAVISTA",3412,2022,0,0,0
"070102","PROV. CONST. DEL CALLAO","CALLAO","BELLAVISTA",0,2022,79,0,0
"070102","CALLAO","CALLAO","BELLAVISTA",3412,2023,0,0,0
"070102","PROV. CONST. DEL CALLAO","CALLAO","BELLAVISTA",0,2023,76,0,0
"070102","CALLAO","CALLAO","BELLAVISTA",3412,2024,0,0,0
"070102","PROV. CONST. DEL CALLAO","CALLAO","BELLAVISTA",0,2024,79,0,0
"070102","CALLAO","CALLAO","BELLAVISTA",3412,2025,0,0,0
"070102","PROV. CONST. DEL CALLAO","CALLAO","BELLAVISTA",0,2025,54,0,0
"070101","CALLAO","CALLAO","CALLAO",26225,2018,0,0,0
"070101","PROV. CONST. DEL CALLAO","CALLAO","CALLAO",0,2018,84,0,0
"070101","CALLAO","CALLAO","CALLAO",26225,2019,0,0,0
"070101","PROV. CONST. DEL CALLAO","CALLAO","CALLAO",0,2019,84,0,0
"070101","CALLAO","CALLAO","CALLAO",26225,2020,0,0,0
"070101","PROV. CONST. DEL CALLAO","CALLAO","CALLAO",0,2020,84,0,0
"070101","CALLAO","CALLAO","CALLAO",26225,2021,0,0,0
"070101","PROV. CONST. DEL CALLAO","CALLAO","CALLAO",0,2021,84,0,0
"070101","CALLAO","CALLAO","CALLAO",26225,2022,0,0,0
"070101","PROV. CONST. DEL CALLAO","CALLAO","CALLAO",0,2022,84,0,0
"070101","CALLAO","CALLAO","CALLAO",26225,2023,0,0,0
"070101","PROV. CONST. DEL CALLAO","CALLAO","CALLAO",0,2023,84,0,0
"070101","CALLAO","CALLAO","CALLAO",26225,2024,0,0,0
"070101","PROV. CONST. DEL CALLAO","CALLAO","CALLAO",0,2024,84,0,0
"070101","CALLAO","CALLAO","CALLAO",26225,2025,0,0,1028
"070101","PROV. CONST. DEL CALLAO","CALLAO","CALLAO",0,2025,56,0,0
"070103","CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",2029,2018,0,0,0
"070103","PROV. CONST. DEL CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",0,2018,58,0,0
"070103","CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",2029,2019,0,0,0
"070103","PROV. CONST. DEL CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",0,2019,54,0,0
"070103","CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",2029,2020,0,0,0
"070103","PROV. CONST. DEL CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",0,2020,53,0,0
"070103","CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",2029,2021,0,0,0
"070103","PROV. CONST. DEL CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",0,2021,69,0,0
"070103","CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",2029,2022,0,0,0
"070103","PROV. CONST. DEL CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",0,2022,67,0,0
"070103","CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",2029,2023,0,0,0
"070103","PROV. CONST. DEL CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",0,2023,71,0,0
"070103","CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",2029,2024,0,0,0
"070103","PROV. CONST. DEL CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",0,2024,69,0,0
"070103","CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",2029,2025,0,0,0
"070103","PROV. CONST. DEL CALLAO","CALLAO","CARMEN DE LA LEGUA REYNOSO",0,2025,47,0,0
"070104","CALLAO","CALLAO","LA PERLA",1585,2018,0,0,0
"070104","PROV. CONST. DEL CALLAO","CALLAO","LA PERLA",0,2018,64,0,0
"070104","CALLAO","CALLAO","LA PERLA",1585,2019,0,0,0
"070104","PROV. CONST. DEL CALLAO","CALLAO","LA PERLA",0,2019,67,0,0
"070104","CALLAO","CALLAO","LA PERLA",1585,2020,0,0,0
"070104","PROV. CONST. DEL CALLAO","CALLAO","LA PERLA",0,2020,65,0,0
"070104","CALLAO","CALLAO","LA PERLA",1585,2021,0,0,0
"070104","PROV. CONST. DEL CALLAO","CALLAO","LA PERLA",0,2021,74,0,0
"070104","CALLAO","CALLAO","LA PERLA",1585,2022,0,0,0
"070104","PROV. CONST. DEL CALLAO","CALLAO","LA PERLA",0,2022,75,0,0
"070104","CALLAO","CALLAO","LA PERLA",1585,2023,0,0,0
"070104","PROV. CONST. DEL CALLAO","CALLAO","LA PERLA",0,2023,73,0,0
"070104","CALLAO","CALLAO","LA PERLA",1585,2024,0,0,0
"070104","PROV. CONST. DEL CALLAO","CALLAO","LA PERLA",0,2024,81,0,0
"070104","CALLAO","CALLAO","LA PERLA",1585,2025,0,0,0
"070104","PROV. CONST. DEL CALLAO","CALLAO","LA PERLA",0,2025,56,0,0
"070105","CALLAO","CALLAO","LA PUNTA",384,2018,0,0,0
"070105","PROV. CONST. DEL CALLAO","CALLAO","LA PUNTA",0,2018,45,0,0
"070105","CALLAO","CALLAO","LA PUNTA",384,2019,0,0,0
"070105","PROV. CONST. DEL CALLAO","CALLAO","LA PUNTA",0,2019,48,0,0
"070105","CALLAO","CALLAO","LA PUNTA",384,2020,0,0,0
"070105","PROV. CONST. DEL CALLAO","CALLAO","LA PUNTA",0,2020,35,0,0
"070105","CALLAO","CALLAO","LA PUNTA",384,2021,0,0,0
"070105","PROV. CONST. DEL CALLAO","CALLAO","LA PUNTA",0,2021,33,0,0
"070105","CALLAO","CALLAO","LA PUNTA",384,2022,0,0,0
"070105","PROV. CONST. DEL CALLAO","CALLAO","LA PUNTA",0,2022,45,0,0
"070105","CALLAO","CALLAO","LA PUNTA",384,2023,0,0,0
"070105","PROV. CONST. DEL CALLAO","CALLAO","LA PUNTA",0,2023,50,0,0
"070105","CALLAO","CALLAO","LA PUNTA",384,2024,0,0,0
"070105","PROV. CONST. DEL CALLAO","CALLAO","LA PUNTA",0,2024,42,0,0
"070105","CALLAO","CALLAO","LA PUNTA",384,2025,0,0,0
"070105","PROV. CONST. DEL CALLAO","CALLAO","LA PUNTA",0,2025,31,0,0
"070107","CALLAO","CALLAO","MI PERU",2081,2018,0,0,0
"070107","PROV. CONST. DEL CALLAO","CALLAO","MI PERU",0,2018,56,0,0
"070107","CALLAO","CALLAO","MI PERU",2081,2019,0,0,0
"070107","PROV. CONST. DEL CALLAO","CALLAO","MI PERU",0,2019,56,0,0
"070107","CALLAO","CALLAO","MI PERU",2081,2020,0,0,0
"070107","PROV. CONST. DEL CALLAO","CALLAO","MI PERU",0,2020,48,0,0
"070107","CALLAO","CALLAO","MI PERU",2081,2021,0,0,0
"070107","PROV. CONST. DEL CALLAO","CALLAO","MI PERU",0,2021,50,0,0
"070107","CALLAO","CALLAO","MI PERU",2081,2022,0,0,0
"070107","PROV. CONST. DEL CALLAO","CALLAO","MI PERU",0,2022,57,0,0
"070107","CALLAO","CALLAO","MI PERU",2081,2023,0,0,0
"070107","PROV. CONST. DEL CALLAO","CALLAO","MI PERU",0,2023,70,0,0
"070107","CALLAO","CALLAO","MI PERU",2081,2024,0,0,0
"070107","PROV. CONST. DEL CALLAO","CALLAO","MI PERU",0,2024,59,0,0
"070107","CALLAO","CALLAO","MI PERU",2081,2025,0,0,0
"070107","PROV. CONST. DEL CALLAO","CALLAO","MI PERU",0,2025,24,0,0
"070106","CALLAO","CALLAO","VENTANILLA",16975,2018,0,0,0
"070106","PROV. CONST. DEL CALLAO","CALLAO","VENTANILLA",0,2018,77,0,0
"070106","CALLAO","CALLAO","VENTANILLA",16975,2019,0,0,0
"070106","PROV. CONST. DEL CALLAO","CALLAO","VENTANILLA",0,2019,82,0,0
"070106","CALLAO","CALLAO","VENTANILLA",16975,2020,0,0,0
"070106","PROV. CONST. DEL CALLAO","CALLAO","VENTANILLA",0,2020,78,0,0
"070106","CALLAO","CALLAO","VENTANILLA",16975,2021,0,0,0
"070106","PROV. CONST. DEL CALLAO","CALLAO","VENTANILLA",0,2021,80,0,0
"070106","CALLAO","CALLAO","VENTANILLA",16975,2022,0,0,0
"070106","PROV. CONST. DEL CALLAO","CALLAO","VENTANILLA",0,2022,81,0,0
"070106","CALLAO","CALLAO","VENTANILLA",16975,2023,0,0,0
"070106","PROV. CONST. DEL CALLAO","CALLAO","VENTANILLA",0,2023,84,0,0
"070106","CALLAO","CALLAO","VENTANILLA",16975,2024,0,0,0
"070106","PROV. CONST. DEL CALLAO","CALLAO","VENTANILLA",0,2024,82,0,0
"070106","CALLAO","CALLAO","VENTANILLA",16975,2025,0,0,0
"070106","PROV. CONST. DEL CALLAO","CALLAO","VENTANILLA",0,2025,56,0,0
