ubigeo,departamento,provincia,distrito,anio,n_empresas,n_denuncias,n_llamadas,n_camaras,denuncias_por_1k_emp,llamadas_por_1k_emp,camaras_por_1k_emp
70101,CALLAO,CALLAO,CALLAO,2018,26225,0,0,0,0,0,0
70101,CALLAO,CALLAO,CALLAO,2019,26225,0,0,0,0,0,0
70101,CALLAO,CALLAO,CALLAO,2020,26225,0,0,0,0,0,0
70101,CALLAO,CALLAO,CALLAO,2021,26225,0,0,0,0,0,0
70101,CALLAO,CALLAO,CALLAO,2022,26225,0,0,0,0,0,0
70101,CALLAO,CALLAO,CALLAO,2023,26225,0,0,0,0,0,0
70101,CALLAO,CALLAO,CALLAO,2024,26225,0,0,0,0,0,0
70101,CALLAO,CALLAO,CALLAO,2025,26225,0,540,1028,0,17.502383222116293,33.31935176358435
70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,2018,26225,84,0,0,3.2030505243088654,0,0
70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,2019,26225,84,0,0,3.2030505243088654,0,0
70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,2020,26225,84,0,0,3.2030505243088654,0,0
70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,2021,26225,84,0,0,3.2030505243088654,0,0
70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,2022,26225,84,0,0,3.2030505243088654,0,0
70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,2023,26225,84,0,0,3.2030505243088654,0,0
70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,2024,26225,84,0,0,3.2030505243088654,0,0
70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,2025,26225,56,0,0,2.1353670162059104,0,0
70102,CALLAO,CALLAO,BELLAVISTA,2018,3412,0,0,0,0,0,0
70102,CALLAO,CALLAO,BELLAVISTA,2019,3412,0,0,0,0,0,0
70102,CALLAO,CALLAO,BELLAVISTA,2020,3412,0,0,0,0,0,0
70102,CALLAO,CALLAO,BELLAVISTA,2021,3412,0,0,0,0,0,0
70102,CALLAO,CALLAO,BELLAVISTA,2022,3412,0,0,0,0,0,0
70102,CALLAO,CALLAO,BELLAVISTA,2023,3412,0,0,0,0,0,0
70102,CALLAO,CALLAO,BELLAVISTA,2024,3412,0,0,0,0,0,0
70102,CALLAO,CALLAO,BELLAVISTA,2025,3412,0,0,0,0,0,0
70102,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,2018,3412,74,0,0,21.688159437280188,0,0
70102,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,2019,3412,79,0,0,23.153575615474796,0,0
