distrito,anio,empresas_stock,denuncias,llamadas,camaras
BELLAVISTA,2018,3412,74,0,0
BELLAVISTA,2019,3412,79,0,0
BELLAVISTA,2020,3412,72,0,0
BELLAVISTA,2021,3412,75,0,0
BELLAVISTA,2022,3412,79,0,0
BELLAVISTA,2023,3412,76,0,0
BELLAVISTA,2024,3412,79,0,0
BELLAVISTA,2025,3412,54,0,0
CALLAO,2018,26225,84,0,0
CALLAO,2019,26225,84,0,0
CALLAO,2020,26225,84,0,0
CALLAO,2021,26225,84,0,0
CALLAO,2022,26225,84,0,0
CALLAO,2023,26225,84,0,0
CALLAO,2024,26225,84,0,0
CALLAO,2025,26225,56,0,1028
CARMEN DE LA LEGUA REYNOSO,2018,2029,58,0,0
CARMEN DE LA LEGUA REYNOSO,2019,2029,54,0,0
CARMEN DE LA LEGUA REYNOSO,2020,2029,53,0,0
CARMEN DE LA LEGUA REYNOSO,2021,2029,69,0,0
CARMEN DE LA LEGUA REYNOSO,2022,2029,67,0,0
CARMEN DE LA LEGUA REYNOSO,2023,2029,71,0,0
CARMEN DE LA LEGUA REYNOSO,2024,2029,69,0,0
CARMEN DE LA LEGUA REYNOSO,2025,2029,47,0,0
LA PERLA,2018,1585,64,0,0
LA PERLA,2019,1585,67,0,0
LA PERLA,2020,1585,65,0,0
LA PERLA,2021,1585,74,0,0
LA PERLA,2022,1585,75,0,0
LA PERLA,2023,1585,73,0,0
LA PERLA,2024,1585,81,0,0
LA PERLA,2025,1585,56,0,0
LA PUNTA,2018,384,45,0,0
LA PUNTA,2019,384,48,0,0
LA PUNTA,2020,384,35,0,0
LA PUNTA,2021,384,33,0,0
LA PUNTA,2022,384,45,0,0
LA PUNTA,2023,384,50,0,0
LA PUNTA,2024,384,42,0,0
LA PUNTA,2025,384,31,0,0
MI PERU,2018,2081,56,0,0
MI PERU,2019,2081,56,0,0
MI PERU,2020,2081,48,0,0
MI PERU,2021,2081,50,0,0
MI PERU,2022,2081,57,0,0
MI PERU,2023,2081,70,0,0
MI PERU,2024,2081,59,0,0
MI PERU,2025,2081,24,0,0
VENTANILLA,2018,16975,77,0,0
VENTANILLA,2019,16975,82,0,0
VENTANILLA,2020,16975,78,0,0
VENTANILLA,2021,16975,80,0,0
VENTANILLA,2022,16975,81,0,0
VENTANILLA,2023,16975,84,0,0
VENTANILLA,2024,16975,82,0,0
VENTANILLA,2025,16975,56,0,0
